1,8358,8319,8349,8324,8318,8355,8318,8336,8302,8327,8314,8324,8344,8311,8345,8355,8350,8312,8326,8348,8350,8326,8344,8306,8323,8344,8329,8363,8329,8301,8337,8370,8329,8345,8328,8301,8321,8350,8332,8324,8326,8302,8329,8357,8330,8331,8345,8321,8334,8323,8320,8306,8346,8320,8343,8351,8320,8308,8343,8333,8334,8335,8291,8336,8328,8316,8324,8307,8321,8330,8351,8353,8339,8326,8345,8330,8303,8312,8318,8339,8313,8331,8283,8297,8340,8333,8327,8304,8364,8336,8336,8318,8316,8365,8293,8349,8358,8337,8362,8282
2,6761,6778,6766,6716,6723,6742,6797,6723,6727,6743,6688,6737,6742,6723,6760,6729,6706,6736,6706,6687,6746,6707,6673,6721,6747,6775,6710,6755,6730,6731,6705,6701,6667,6734,6775,6747,6711,6695,6755,6727,6692,6732,6697,6689,6727,6711,6734,6729,6710,6765,6714,6712,6703,6741,6714,6764,6707,6745,6753,6751,6734,6717,6715,6717,6734,6746,6748,6786,6728,6763,6734,6721,6734,6724,6683,6673,6771,6730,6757,6775,6675,6747,6725,6701,6699,6722,6741,6767,6748,6675,6731,6719,6671,6708,6677,6712,6758,6707,6690,6781
3,5188,5190,5252,5235,5216,5247,5219,5249,5174,5217,5170,5252,5203,5243,5167,5219,5233,5210,5269,5192,5190,5256,5187,5247,5217,5204,5207,5178,5230,5208,5180,5212,5240,5211,5167,5269,5238,5152,5200,5166,5205,5188,5211,5189,5239,5205,5231,5182,5130,5161,5190,5278,5263,5225,5196,5217,5204,5234,5257,5200,5208,5176,5223,5199,5165,5256,5159,5172,5201,5181,5210,5159,5231,5224,5260,5230,5261,5261,5252,5201,5216,5186,5242,5235,5294,5195,5159,5250,5199,5190,5201,5273,5224,5197,5138,5210,5197,5186,5183,5168
4,3745,3846,3888,3831,3836,3815,3835,3890,3825,3824,3868,3750,3808,3874,3860,3751,3836,3834,3822,3806,3838,3856,3865,3896,3766,3843,3835,3832,3894,3755,3839,3759,3832,3736,3793,3860,3827,3764,3826,3840,3839,3822,3876,3795,3851,3879,3817,3836,3840,3899,3834,3709,3845,3771,3799,3817,3858,3797,3709,3751,3867,3912,3776,3803,3815,3822,3789,3831,3878,3757,3909,3848,3761,3944,3861,3836,3855,3852,3817,3877,3826,3783,3849,3775,3911,3863,3906,3813,3848,3878,3830,3896,3812,3804,3853,3749,3860,3818,3796,3780
5,2528,2599,2585,2538,2596,2643,2591,2587,2575,2490,2661,2605,2549,2608,2573,2492,2533,2611,2606,2592,2582,2599,2662,2637,2670,2585,2609,2581,2621,2606,2656,2567,2513,2655,2618,2646,2664,2575,2522,2650,2590,2601,2610,2540,2647,2583,2612,2543,2631,2567,2570,2531,2632,2559,2553,2587,2621,2575,2586,2541,2602,2615,2632,2583,2657,2646,2588,2652,2533,2608,2595,2640,2516,2720,2639,2638,2596,2563,2630,2603,2650,2605,2561,2607,2636,2612,2635,2638,2572,2635,2627,2611,2518,2683,2643,2656,2593,2565,2615,2592
6,1685,1633,1640,1645,1569,1606,1640,1621,1630,1640,1660,1621,1535,1603,1543,1566,1665,1577,1535,1625,1619,1656,1498,1612,1594,1637,1637,1569,1595,1658,1607,1586,1632,1610,1584,1597,1704,1650,1631,1615,1624,1613,1659,1594,1653,1627,1634,1662,1656,1602,1592,1606,1664,1593,1637,1664,1593,1604,1686,1611,1679,1624,1591,1608,1669,1622,1657,1621,1612,1638,1662,1583,1621,1604,1631,1626,1609,1625,1613,1547,1599,1650,1566,1683,1684,1696,1564,1613,1638,1598,1572,1625,1625,1601,1657,1618,1568,1605,1628,1580
7,858,952,924,936,952,886,919,876,907,918,856,928,855,860,905,933,894,960,930,845,941,868,883,939,913,906,962,881,1002,913,891,895,878,918,898,892,984,880,895,969,872,898,904,948,844,913,943,857,864,914,902,881,877,923,884,881,977,960,881,879,935,926,878,923,1007,903,895,915,860,904,887,892,901,911,971,917,992,921,895,878,915,904,894,962,880,947,858,876,877,917,905,853,952,910,991,876,1005,928,949,954
8,426,480,463,458,389,412,501,419,449,462,443,433,435,443,438,516,469,483,412,448,478,464,470,473,447,488,466,462,494,427,440,446,471,503,433,484,465,432,426,486,458,421,417,430,467,457,388,463,516,477,467,449,362,470,460,442,504,463,481,427,428,453,425,448,436,487,442,452,399,469,445,401,491,504,412,447,463,409,452,430,473,421,415,458,491,455,480,458,448,454,522,466,451,455,479,457,462,421,440,449
9,214,262,200,201,227,200,206,227,208,191,247,235,219,212,224,232,219,218,234,204,223,212,250,205,218,219,221,250,201,226,248,212,251,215,232,198,213,225,199,229,211,213,212,189,184,220,217,228,238,200,212,227,189,192,191,232,200,168,205,230,215,246,188,214,227,213,237,209,212,233,238,214,191,194,243,222,210,214,216,248,198,196,235,222,207,200,233,176,225,205,197,223,209,230,186,189,204,248,200,251
10,113,114,99,72,91,114,95,108,108,81,95,100,104,103,84,103,109,90,105,115,91,102,81,100,77,87,90,90,107,104,111,94,91,86,91,93,115,125,95,103,83,93,109,108,90,99,107,94,96,83,68,98,102,83,98,118,109,112,113,125,92,124,103,78,85,89,105,114,84,113,61,83,115,120,89,87,91,111,105,97,102,108,101,90,102,106,81,116,105,91,108,107,98,99,77,97,122,76,84,92
